YouTubeID,Start,End,Labels1,Labels2,AllLabels
--PJHxphWEs,30.0,40.0," ""/m/09x0r","/t/dd00088"""," ""/m/09x0r, /t/dd00088"""
--ZhevVpy1s,50.0,60.0," ""/m/012xff""",," ""/m/012xff"""
-3IGxVTJvgI,30.0,40.0," ""/m/06bz3","/m/09x0r"""," ""/m/06bz3, /m/09x0r"""
-5-vmt2iKT0,30.0,40.0," ""/m/02zsn","/m/09x0r"""," ""/m/02zsn, /m/09x0r"""
-6gC_nlUBfA,60.0,70.0," ""/m/02y_763","/m/09x0r"""," ""/m/02y_763, /m/09x0r"""
-9Nl3LZBCOo,200.0,210.0," ""/m/01s0vc","/m/09x0r"""," ""/m/01s0vc, /m/09x0r"""
-9c1c8G_WO8,24.0,34.0," ""/m/07c52","/m/09x0r"""," ""/m/07c52, /m/09x0r"""
-CgdUiJaNdU,170.0,180.0," ""/m/07sq110","/m/09x0r"""," ""/m/07sq110, /m/09x0r"""
-DLL8LaKq-c,19.0,29.0," ""/m/07pws3f","/m/09x0r"""," ""/m/07pws3f, /m/09x0r"""
-En5nC5Tka4,30.0,40.0," ""/m/07qlwh6","/m/09x0r"""," ""/m/07qlwh6, /m/09x0r"""
-G3Ph35cTy0,30.0,40.0," ""/m/09x0r","/t/dd00136"""," ""/m/09x0r, /t/dd00136"""
-H5kC4WsuI8,30.0,40.0," ""/m/07qcpgn","/m/09x0r"""," ""/m/07qcpgn, /m/09x0r"""
-IZsyroG6yo,420.0,430.0," ""/m/07rkbfh","/m/09x0r"""," ""/m/07rkbfh, /m/09x0r"""
-ItCGHv_9Gs,3.0,13.0," ""/m/07r4wb8","/m/09x0r"""," ""/m/07r4wb8, /m/09x0r"""
-Jam3cjbeFQ,30.0,40.0," ""/m/07pws3f","/m/09x0r"""," ""/m/07pws3f, /m/09x0r"""
-Jie0k7xUIk,10.0,20.0," ""/m/012xff","/m/07r5v4s"""," ""/m/012xff, /m/07r5v4s"""
-JuVh6islEI,30.0,40.0," ""/m/06bz3","/m/09x0r"""," ""/m/06bz3, /m/09x0r"""
-KaRoM5LnHc,30.0,40.0," ""/m/07pyf11","/m/09x0r"""," ""/m/07pyf11, /m/09x0r"""
-KiAK66YwW8,150.0,160.0," ""/m/07r4k75","/m/09x0r"""," ""/m/07r4k75, /m/09x0r"""
-L68XDzhn2g,80.0,90.0," ""/m/02x984l","/m/09x0r"""," ""/m/02x984l, /m/09x0r"""
-MZx1np1Ddc,30.0,40.0," ""/m/01jnbd","/m/09x0r"""," ""/m/01jnbd, /m/09x0r"""
-Mu1AWT_x54,320.0,330.0," ""/m/03v3yw","/m/09x0r"""," ""/m/03v3yw, /m/09x0r"""
-QE9dqhf_D8,170.0,180.0," ""/m/0642b4","/m/09x0r"""," ""/m/0642b4, /m/09x0r"""
-QivqOnaPIc,100.0,110.0," ""/m/08j51y","/m/09x0r"""," ""/m/08j51y, /m/09x0r"""
-S-Cn-IKlQw,23.0,33.0," ""/m/07swgks","/m/09x0r"""," ""/m/07swgks, /m/09x0r"""
-U3Xh6Fsw50,0.0,10.0," ""/m/07pqn27","/m/09x0r"""," ""/m/07pqn27, /m/09x0r"""
-V7u2HffQAE,160.0,170.0," ""/m/07rrh0c","/m/09x0r"""," ""/m/07rrh0c, /m/09x0r"""
-VXpZuIsb_g,30.0,40.0," ""/m/030rvx","/m/09x0r"""," ""/m/030rvx, /m/09x0r"""
-VygdbfiRes,30.0,40.0," ""/m/07swgks","/m/09x0r"""," ""/m/07swgks, /m/09x0r"""
-WFsDr9xBVo,30.0,40.0," ""/m/025wky1","/m/09x0r"""," ""/m/025wky1, /m/09x0r"""
-XxJ50brqGw,30.0,40.0," ""/m/09x0r","/t/dd00018"""," ""/m/09x0r, /t/dd00018"""
-b1l5v-fpNs,30.0,40.0," ""/m/07pqn27","/m/09x0r"""," ""/m/07pqn27, /m/09x0r"""
-b6pKB99TKg,0.0,10.0," ""/m/07qyrcz","/m/09x0r"""," ""/m/07qyrcz, /m/09x0r"""
-dEOa2GkXHw,30.0,40.0," ""/m/09x0r","/m/0chx_"""," ""/m/09x0r, /m/0chx_"""
-fEwlyG05Co,290.0,300.0," ""/m/025wky1","/m/09x0r"""," ""/m/025wky1, /m/09x0r"""
-gSxU1ceCLY,30.0,40.0," ""/m/01s0vc","/m/09x0r"""," ""/m/01s0vc, /m/09x0r"""
-jNIaWOWUFI,30.0,40.0," ""/m/07qjznt","/m/09x0r"""," ""/m/07qjznt, /m/09x0r"""
-kkTpMU4QS8,30.0,40.0," ""/m/07bjf","/m/09x0r"""," ""/m/07bjf, /m/09x0r"""
-oSZw8b-vgU,30.0,40.0," ""/m/07r660_","/m/09x0r"""," ""/m/07r660_, /m/09x0r"""
-ockHs8mYQo,12.0,22.0," ""/m/07p6mqd","/m/09x0r"""," ""/m/07p6mqd, /m/09x0r"""
-p1M8lMslEg,20.0,30.0," ""/m/09x0r","/t/dd00065"""," ""/m/09x0r, /t/dd00065"""
-peDsjbcA-0,40.0,50.0," ""/m/02p3nc","/m/09x0r"""," ""/m/02p3nc, /m/09x0r"""
-pzwalZ0ub0,5.0,15.0," ""/m/02rhddq","/m/09x0r"""," ""/m/02rhddq, /m/09x0r"""
-q1pzc3VMrg,60.0,70.0," ""/m/09x0r","/t/dd00112"""," ""/m/09x0r, /t/dd00112"""
-qdu3Aw0aNU,110.0,120.0," ""/m/015jpf","/m/09x0r"""," ""/m/015jpf, /m/09x0r"""
-t_n44IaDBw,0.0,10.0," ""/m/07c52","/m/09x0r"""," ""/m/07c52, /m/09x0r"""
-uCkr7KFkYg,160.0,170.0," ""/m/05zppz","/m/09x0r"""," ""/m/05zppz, /m/09x0r"""
-uIEWKSQ1z4,30.0,40.0," ""/m/09x0r","/t/dd00005"""," ""/m/09x0r, /t/dd00005"""
-uWB_lkFDhg,140.0,150.0," ""/m/06_y0by","/m/09x0r"""," ""/m/06_y0by, /m/09x0r"""
-uzavgbcJVA,6.0,16.0," ""/m/07qlf79","/m/09x0r"""," ""/m/07qlf79, /m/09x0r"""
